DATA START WALK AROUND 2/15 5:30pm
ID,Temperature (degC),Pressure (Pa),Humidity (%),Latitude (deg),Longitude (deg),Mode,GPS Time,Alt,EPX,EPY,EPV,Speed,Hdop,Vdop,Time
0,10.08,804.0452294394728,23.487102076645368,,,,,,,,,,,,04:49:25.139644
1,10.09,804.0294030371568,23.46399719451619,38.849114187,-104.826542264,3,u'2021-02-16T00:43:33.000Z',1879.835,9.23,12.927,31.51,0.136,,,04:49:25.162880
2,9.88,804.0282676892649,24.304568019573505,38.849104412,-104.826544723,3,u'2021-02-16T00:43:36.000Z',1880.083,9.23,12.927,31.51,0.11,,,04:49:27.736010
3,9.75,804.0746809906376,23.538792453196567,38.849095338,-104.82654782,3,u'2021-02-16T00:43:39.000Z',1880.425,9.23,12.927,34.27,0.198,,,04:49:30.735684
4,9.86,804.0171051191014,24.727312310195163,38.8490905,-104.826549166,3,u'2021-02-16T00:43:41.000Z',1880.63,10.941,30.031,34.5,0.136,,,04:49:33.736851
5,9.86,804.0397594206781,24.453573932278662,38.849076133,-104.826552247,3,u'2021-02-16T00:43:44.000Z',1880.857,10.941,30.031,31.74,0.102,,,04:49:35.737085
6,9.92,803.998552283216,24.006335812245396,38.849061576,-104.826557149,3,u'2021-02-16T00:43:47.000Z',1881.254,10.941,30.031,31.74,0.0,,,04:49:38.737101
7,9.65,803.9931715548296,22.013350989842483,38.849058267,-104.826560849,3,u'2021-02-16T00:43:50.000Z',1881.758,10.941,30.031,34.27,0.035,,,04:49:41.735063
8,9.49,804.053972102442,23.07447469947234,38.849049208,-104.82656482,3,u'2021-02-16T00:43:52.000Z',1882.034,9.411,18.051,31.74,0.094,,,04:49:44.738322
9,9.53,803.9951156443842,24.059368550690397,38.849030426,-104.826572741,3,u'2021-02-16T00:43:55.000Z',1882.488,9.411,18.051,32.2,0.237,,,04:49:46.738256
