ID,Temperature (degC),Pressure (Pa),Humidity (%),Latitude (deg),Latitude (deg),BME180 Chip ID,BME180 Chip VERSION,Time
0,19.93,804.2022621749292,23.64776833389139,,,96,0,20:03:45.938227
1,19.93,804.1791601469939,23.65351140215138,,,96,0,20:03:46.061700
2,19.94,804.2059782556611,23.64728715838314,,,96,0,20:03:46.184965
3,19.95,804.199515965375,23.647094669523312,38.84811848,-104.826296648,96,0,20:03:46.308253
4,19.94,804.2192258496765,23.658966014308113,38.848129726,-104.826299062,96,0,20:03:46.431924
5,19.93,804.1924075196089,23.66518996854627,38.84814319,-104.826304287,96,0,20:03:47.200557
6,19.93,804.1591276676013,23.682899796222358,,,96,0,20:03:48.196934
7,19.93,804.1924075196089,23.67686849538446,38.848151618,-104.826309136,96,0,20:03:48.537417
8,19.92,804.2352184204024,23.665478346394266,38.848159001,-104.826318078,96,0,20:03:49.199941
9,19.93,804.1890148521992,23.665286097160802,38.848166873,-104.826323792,96,0,20:03:50.200014
10,19.93,804.1890148521992,23.682803771428667,38.848179076,-104.82633126,96,0,20:03:51.199898
11,19.92,804.188691354684,23.71238310624926,38.848184284,-104.826337776,96,0,20:03:52.199585
12,19.93,804.1988694599045,23.712095553630448,38.848198143,-104.826337707,96,0,20:03:53.202793
13,19.92,804.2250398467982,23.729995882957926,38.848209035,-104.826337082,96,0,20:03:54.197614
14,19.92,804.1489500506912,23.729900138568123,38.848222064,-104.826330717,96,0,20:03:55.196645
15,19.93,804.1591276676013,23.72377378737105,38.848222452,-104.826339161,96,0,20:03:56.195913
16,19.92,804.2087239701101,23.735547700223652,38.848225208,-104.826341424,96,0,20:03:57.197487
17,19.91,804.1520194277531,23.73602625358577,,,96,0,20:03:58.197943
18,19.93,804.1693053442885,23.711807977025313,38.848227911,-104.826345899,96,0,20:03:58.538578
19,19.93,804.1625202198553,23.69448217149527,38.848227419,-104.826355542,96,0,20:03:59.198456
20,19.93,804.2090476249041,23.653415203433966,38.848231399,-104.826361796,96,0,20:04:00.200026
21,19.93,804.2453970537888,23.64183279619979,38.848231274,-104.826366265,96,0,20:04:01.201134
22,19.93,804.2253640099666,23.64786456099738,38.848236928,-104.826366108,96,0,20:04:02.199845
23,19.93,804.2022621749292,23.618571863994475,38.848238249,-104.826375734,96,0,20:04:03.204665
24,19.93,804.2487899448685,23.641736530044234,38.848242743,-104.826367948,96,0,20:04:04.197311
25,19.93,804.2386112915557,23.67122142403649,38.848244856,-104.826374808,96,0,20:04:05.197283
26,19.93,804.2718918471111,23.67686849538446,38.848251028,-104.826381461,96,0,20:04:06.194600
27,19.93,804.2090476249041,23.665093837266543,38.848254168,-104.826398019,96,0,20:04:07.200020
28,19.93,804.2155095020312,23.64776833389139,,,96,0,20:04:08.200259
29,19.94,804.1859453932236,23.647479636582094,38.848253008,-104.826408569,96,0,20:04:08.540829
30,19.94,804.2158331014444,23.629865141913324,38.848252484,-104.826416299,96,0,20:04:09.199671
31,19.93,804.1791601469939,23.606796741004832,38.84826571,-104.826413097,96,0,20:04:10.198408
32,19.93,804.1924075196089,23.595117976826444,38.848274554,-104.826403769,96,0,20:04:11.199192
33,19.93,804.2586444482639,23.577599756390054,38.848288406,-104.826404921,96,0,20:04:12.201360
34,19.93,804.2518585775167,23.577793022541105,38.848293749,-104.826397891,96,0,20:04:13.199988
35,19.92,804.2219711930703,23.525335366759286,38.848303275,-104.826394021,96,0,20:04:14.200130
36,19.93,804.2189022779547,23.507525984618766,38.848306189,-104.826391199,96,0,20:04:15.200918
37,19.92,804.188691354684,23.467135309052047,38.848312324,-104.82639481,96,0,20:04:16.200174
38,19.92,804.2117927822366,23.44387486291473,38.848321133,-104.826397446,96,0,20:04:17.196717
39,19.92,804.2318255558916,23.43784054773838,,,96,0,20:04:18.199524
40,19.93,804.2321496636858,23.437450788806306,38.848319569,-104.826390861,96,0,20:04:18.540157
41,19.93,804.2586444482639,23.43161112487563,38.848308063,-104.826370649,96,0,20:04:19.200260
42,19.92,804.254926948776,23.426258980289827,38.848314151,-104.826365263,96,0,20:04:20.199963
43,19.92,804.2617128881824,23.40854519930992,38.848334723,-104.826369395,96,0,20:04:21.200533
44,19.92,804.215185579205,23.414579940217447,38.848353323,-104.82636675,96,0,20:04:22.199549
45,19.92,804.2185783828165,23.39696363681023,38.848361938,-104.826360535,96,0,20:04:23.199444
46,19.92,804.1985457220468,23.391319441601997,38.848463927,-104.826354343,96,0,20:04:24.199972
47,19.92,804.26817408071,23.397061305944334,38.848531449,-104.826352369,96,0,20:04:25.199109
48,19.92,804.2583199151579,23.39696363681023,38.848534477,-104.826355607,96,0,20:04:26.199032
49,19.92,804.2053312141132,23.367765546628522,38.84853469,-104.826361527,96,0,20:04:27.199392
50,19.91,804.2481410359417,23.362219505368536,,,96,0,20:04:28.196286
51,19.92,804.26817408071,23.350344512784,38.848551551,-104.826356881,96,0,20:04:28.536932
52,19.93,804.2916004616314,23.350050687999932,38.848559844,-104.826355214,96,0,20:04:29.203467
53,19.92,804.2583199151579,23.356086241334797,38.848565129,-104.826357002,96,0,20:04:30.196386
54,19.92,804.2382869157319,23.3679612194733,38.848599191,-104.826356173,96,0,20:04:31.197653
55,19.92,804.215185579205,23.356184146539164,38.848602122,-104.826362224,96,0,20:04:32.197169
56,19.92,804.2250398467982,23.362121639219897,38.848612274,-104.826360371,96,0,20:04:33.198706
57,19.92,804.2117927822366,23.373800789838214,38.848625484,-104.82636188,96,0,20:04:34.199323
58,19.91,804.2050072082291,23.368156881655988,38.848633007,-104.826360112,96,0,20:04:35.196292
59,19.92,804.2284326980235,23.37370298847302,38.848636964,-104.826363668,96,0,20:04:36.197485
60,19.91,804.2447480894895,23.373996384572056,38.848696281,-104.826348816,96,0,20:04:37.197655
61,19.91,804.2940818237507,23.368262233799644,,,96,0,20:04:38.198758
62,19.91,804.2083999919113,23.35637994895129,38.848699198,-104.826350207,96,0,20:04:38.539463
63,19.92,804.2416798212138,23.367863384383675,38.848688855,-104.826346419,96,0,20:04:39.196152
64,19.92,804.254926948776,23.367863384383675,38.848704901,-104.82634157,96,0,20:04:40.200314
65,19.92,804.2382869157319,23.350442449047602,38.84870475,-104.826345073,96,0,20:04:41.198904
66,19.91,804.2579950586531,23.350638313578184,38.848707473,-104.826339137,96,0,20:04:42.199513
67,19.91,804.2906886740705,23.36252061526104,38.848710258,-104.826341449,96,0,20:04:43.197923
68,19.9,804.2740487156996,23.39181541684629,38.848708917,-104.82634746,96,0,20:04:44.196380
69,19.9,804.2574088768577,23.44446667773758,38.848704212,-104.826349939,96,0,20:04:45.197237
70,19.89,804.2207366583307,23.45643706473541,38.848729618,-104.826348613,96,0,20:04:46.194351
71,19.9,804.2441621245223,23.467823565942158,38.84873154,-104.826345244,96,0,20:04:47.197874
72,19.9,804.1877824089445,23.479599126199663,,,96,0,20:04:48.197552
73,19.9,804.2309153765583,23.4911802959419,38.848726693,-104.826344229,96,0,20:04:48.525349
74,19.9,804.2343082959236,23.48524398384847,38.848712826,-104.82633752,96,0,20:04:49.197092
75,19.9,804.2475550981438,23.49692237674126,38.848718177,-104.826337091,96,0,20:04:50.197286
76,19.9,804.2475550981438,23.479404772570202,38.848713241,-104.82633658,96,0,20:04:51.197301
77,19.9,804.2241295577618,23.5030526801372,38.848710929,-104.826338721,96,0,20:04:52.197471
78,19.9,804.2044218937455,23.4911802959419,38.848711303,-104.826344301,96,0,20:04:53.195868
79,19.89,804.2370508491338,23.50344080519718,38.848702672,-104.826345509,96,0,20:04:54.195958
80,19.89,804.2536903225664,23.526699596190955,38.848712092,-104.82635155,96,0,20:04:55.196078
81,19.88,804.2401181933898,23.556281025663658,38.84871807,-104.826350155,96,0,20:04:56.195884
82,19.88,804.2733970116267,23.550248768583003,38.848713479,-104.826357336,96,0,20:04:57.193267
83,19.88,804.2003794012995,23.556281025663658,,,96,0,20:04:58.198746
84,19.88,804.1969865483888,23.52718403144077,38.848705398,-104.826346933,96,0,20:04:58.526854
85,19.88,804.2499713962284,23.544700285502962,38.848694551,-104.826338567,96,0,20:04:59.198974
86,19.87,804.2299391662955,23.550732502757548,38.848715432,-104.826329341,96,0,20:05:00.199499
87,19.88,804.1969865483888,23.515506479299308,38.848786165,-104.826329088,96,0,20:05:01.198673
88,19.88,804.2302648930573,23.497795973617205,38.848816653,-104.826332195,96,0,20:05:02.199423
89,19.88,804.2102327537918,23.49799007693713,38.848868827,-104.826323836,96,0,20:05:03.199822
90,19.89,804.2238044223358,23.50344080519718,38.848899713,-104.826331524,96,0,20:05:04.199199
91,19.87,804.1868080295369,23.51579731079353,38.848907709,-104.82633268,96,0,20:05:05.200885
92,19.86,804.1800223835381,23.533506992691425,38.848920096,-104.826333868,96,0,20:05:06.203305
93,19.86,804.2693508213889,23.533603824697394,38.84893743,-104.826335666,96,0,20:05:07.202483
94,19.87,804.2628911990631,23.539248774489668,,,96,0,20:05:08.199219
95,19.87,804.2231531814683,23.556764564581034,38.848917022,-104.826340892,96,0,20:05:08.539390
96,19.87,804.2628911990631,23.550925977770124,38.848885769,-104.826333227,96,0,20:05:09.201375
97,19.86,804.2296131162144,23.55111944212141,38.848882338,-104.826324366,96,0,20:05:10.203662
98,19.85,804.2388783143887,23.56912551091406,38.848884635,-104.826327827,96,0,20:05:11.203236
99,19.85,804.2059273394088,23.56893227594976,38.84889888,-104.826336583,96,0,20:05:12.204272
100,19.85,804.2687627933672,23.563190532643137,38.848899252,-104.826342902,96,0,20:05:13.202074
101,19.84,804.2253059616579,23.56951194885906,38.848909904,-104.826354385,96,0,20:05:14.202178
102,19.84,804.2684354566175,23.575253560725127,38.848906862,-104.826364129,96,0,20:05:15.199524
103,19.84,804.2188466069598,23.598509891739067,38.848900078,-104.826372269,96,0,20:05:16.201305
104,19.84,804.2154535763569,23.604444499220968,Unknown,Unknown,96,0,20:05:17.200852
105,19.84,804.2585831733643,23.592671680205044,,,96,0,20:05:18.192919
106,19.84,804.1889626624513,23.592768153477827,Unknown,Unknown,96,0,20:05:18.522266
107,19.85,804.2388783143887,23.592478725663653,Unknown,Unknown,96,0,20:05:19.192125
108,19.85,804.2388783143887,23.586640436804363,Unknown,Unknown,96,0,20:05:20.194173
109,19.84,804.2419445077456,23.61028265726494,Unknown,Unknown,96,0,20:05:21.196070
110,19.84,804.2585831733643,23.639377095692193,Unknown,Unknown,96,0,20:05:22.196343
111,19.83,804.2450104397925,23.657275856842855,Unknown,Unknown,96,0,20:05:23.196118
112,19.84,804.2385513752824,23.657083665449036,Unknown,Unknown,96,0,20:05:24.194301
113,19.83,804.2484036132101,23.657179762478545,Unknown,Unknown,96,0,20:05:25.194455
114,19.83,804.2249789119337,23.66914382866161,Unknown,Unknown,96,0,20:05:26.192104
115,19.81,804.2311101717119,23.722258652107865,38.848843121,-104.826450852,96,0,20:05:27.194878
116,19.81,804.1913755453674,23.73393382112695,,,96,0,20:05:28.197714
117,19.82,804.2280446724689,23.733646909002317,38.848857254,-104.82641403,96,0,20:05:28.550788
118,19.82,804.2348309594447,23.727617872773088,38.848869593,-104.82639218,96,0,20:05:29.197711
119,19.81,804.2144721783392,23.734029453171594,38.848886456,-104.826371415,96,0,20:05:30.199113
120,19.81,804.2477482846166,23.745513383335147,38.84896963,-104.826382383,96,0,20:05:31.199125
121,19.81,804.2409618338381,23.751542031420595,38.848988412,-104.826357365,96,0,20:05:32.198876
122,19.81,804.2674515068184,23.763217034168083,38.849048497,-104.826350816,96,0,20:05:33.200328
123,19.8,804.1707566173314,23.781213570166983,38.849056445,-104.826330293,96,0,20:05:34.201157
124,19.81,804.2345033461729,23.80388877488913,38.849063825,-104.826316128,96,0,20:05:35.200405
125,19.8,804.2307822075662,23.786852890852327,38.84909213,-104.826371329,96,0,20:05:36.199571
126,19.8,804.1972457044606,23.787050855889575,38.849033661,-104.826304763,96,0,20:05:37.195867
127,19.8,804.2538782510608,23.775273554838893,,,96,0,20:05:38.198817
128,19.81,804.2144721783392,23.77489199738076,38.849009619,-104.826266506,96,0,20:05:38.551648
129,19.8,804.2175375403947,23.775178169471967,38.84897224,-104.826253913,96,0,20:05:39.197534
130,19.8,804.2538782510608,23.78111088675446,38.848944401,-104.826242375,96,0,20:05:40.198730
131,19.79,804.2203416274383,23.763797100965135,38.848924465,-104.826211204,96,0,20:05:41.196992
132,19.8,804.2042928775933,23.751828608110905,38.848891959,-104.826205369,96,0,20:05:42.197274
133,19.79,804.2169484524602,23.74638074245047,38.848856482,-104.826194865,96,0,20:05:43.198769
134,19.77,804.193196413941,23.729538304073692,38.848813609,-104.826192799,96,0,20:05:44.195426
135,19.79,804.1571847987901,23.71738562694475,38.84876443,-104.826182145,96,0,20:05:45.197606
136,19.78,804.1802804053808,23.6941323310597,38.848728688,-104.826156036,96,0,20:05:46.200346
137,19.8,804.2237348090703,23.67614073714586,38.848681429,-104.826152471,96,0,20:05:47.200079
138,19.79,804.2434373575344,23.67049523446726,,,96,0,20:05:48.197231
139,19.79,804.2434373575344,23.67049523446726,38.848915468,-104.8261127,96,0,20:05:48.550422
140,19.78,804.1901315901247,23.659204572100222,38.849044293,-104.826068513,96,0,20:05:49.199683
141,19.78,804.1867385026729,23.647626066166357,38.849019662,-104.826052259,96,0,20:05:50.201124
142,19.78,804.199982677386,23.618439532915694,38.848988917,-104.826031062,96,0,20:05:51.201210
143,19.78,804.196589542336,23.63021037998209,38.849040548,-104.825987091,96,0,20:05:52.199946
144,19.78,804.196589542336,23.641884915961977,38.849038539,-104.825970435,96,0,20:05:53.199650
145,19.76,804.1762308718056,23.70666869598475,38.849051982,-104.825965474,96,0,20:05:54.200449
146,19.76,804.1728377833475,23.70092752478808,38.849018067,-104.825936091,96,0,20:05:55.197158
147,19.76,804.2091757870633,23.718533927129542,38.848980892,-104.82590932,96,0,20:05:56.199537
148,19.76,804.1728377833475,23.72427513878208,38.848971971,-104.82590214,96,0,20:05:57.199476
149,19.76,804.2027184747932,23.735853307953228,,,96,0,20:05:58.199272
150,19.76,804.1728377833475,23.718438250105713,38.848974669,-104.825898636,96,0,20:05:58.552554
151,19.76,804.2027184747932,23.683320828542335,38.848987073,-104.825888889,96,0,20:05:59.200054
152,19.77,804.1830170686914,23.58973492673337,38.848984813,-104.825881986,96,0,20:06:00.199463
153,19.76,804.1928678204827,23.508109886887574,38.848998841,-104.825881606,96,0,20:06:01.200646
154,19.75,804.1361714064302,23.485245669719106,38.848983184,-104.825869416,96,0,20:06:02.199502
155,19.75,804.2057825491597,23.368402244399373,38.848984634,-104.825851218,96,0,20:06:03.199610
156,19.75,804.1792952629517,23.234138992582196,38.849013272,-104.825856865,96,0,20:06:04.198039
157,19.75,804.1494149799879,23.152509918537714,38.849037326,-104.825851823,96,0,20:06:05.199021
158,19.74,804.2020598379025,22.977772736360585,38.84905488,-104.825854799,96,0,20:06:06.196804
159,19.75,804.1925389038709,22.895538885770435,38.8490768,-104.825849,96,0,20:06:07.199429
160,19.75,804.1626585579152,22.778873622579834,,,96,0,20:06:08.199575
161,19.75,804.1857525565429,22.74978285014735,38.849079674,-104.825844773,96,0,20:06:08.552373
162,19.75,804.1327784531068,22.76145962836162,38.849091175,-104.825846207,96,0,20:06:09.199027
163,19.75,804.1494149799879,22.755520010255516,38.849095777,-104.825848387,96,0,20:06:10.197861
164,19.75,804.1592654960857,22.726429175147217,38.849108909,-104.82586373,96,0,20:06:11.198371
165,19.73,804.1155527927823,22.732782209619987,38.84907585,-104.825884919,96,0,20:06:12.199447
166,19.75,804.1823593928654,22.761560825898837,38.84908474,-104.825896113,96,0,20:06:13.199402
167,19.74,804.1657228119382,22.83755923865197,38.849064914,-104.825918906,96,0,20:06:14.199575
168,19.74,804.1755730854845,22.808469120940497,38.849048541,-104.825944544,96,0,20:06:15.200425
169,19.73,804.181769055817,22.826193062580888,38.849026832,-104.82597122,96,0,20:06:16.199359
170,19.72,804.207925518492,22.762378092888714,38.849021868,-104.825979563,96,0,20:06:17.196699
171,19.73,804.1715895234175,22.814819477434536,,,96,0,20:06:18.199644
172,19.74,804.1851622466016,22.80857780353498,38.84900184,-104.825993924,96,0,20:06:18.552424
173,19.73,804.1186171552805,22.82065749031745,38.848988051,-104.825998491,96,0,20:06:19.199764
174,19.73,804.1583464248293,22.984117839739138,38.848962344,-104.826015986,96,0,20:06:20.199851
175,19.73,804.1583464248293,22.896550758710895,38.84893813,-104.826035315,96,0,20:06:21.199734
176,19.72,804.1681963592698,22.89665115881712,38.848968398,-104.826054701,96,0,20:06:22.199829
177,19.72,804.1447740252072,22.97284218771091,38.848955787,-104.826065137,96,0,20:06:23.200112
178,19.71,804.204201774421,23.136489576948552,38.848943277,-104.826065435,96,0,20:06:24.195573
179,19.71,804.1444443967207,23.20673332035981,38.848928327,-104.82606571,96,0,20:06:25.197177
180,19.71,804.1841724166466,23.235918627077655,38.848919197,-104.82607959,96,0,20:06:26.199580
181,19.71,804.2140511738941,23.311701282016895,38.848887612,-104.826074757,96,0,20:06:27.199202
182,19.71,804.1875656969278,23.32337514614259,,,96,0,20:06:28.197859
183,19.71,804.134594795423,23.31753821901937,38.848871805,-104.826091718,96,0,20:06:28.550655
184,19.7,804.1940217708216,23.32357098191212,38.848860739,-104.826096106,96,0,20:06:29.198888
185,19.69,804.1936909411098,23.37649269988638,38.848862105,-104.826093866,96,0,20:06:30.199251
186,19.7,804.1376581816544,23.376199884780537,38.848869275,-104.826086633,96,0,20:06:31.199623
187,19.68,804.1536331939055,23.376883082710453,38.848866691,-104.826093745,96,0,20:06:32.199069
188,19.69,804.1835109146597,23.184174630394043,38.848860506,-104.826092776,96,0,20:06:33.197760
189,19.69,804.1471773432953,23.22493390729984,38.848866645,-104.826092664,96,0,20:06:34.199734
190,19.69,804.1702686622589,23.22503237853314,38.848848802,-104.826094518,96,0,20:06:35.194718
191,19.7,804.1838418271777,23.21296461485572,38.848835936,-104.826110879,96,0,20:06:36.197845
192,19.7,804.2137201867517,23.172006998608875,38.848832047,-104.826133541,96,0,20:06:37.197171
193,19.68,804.1139066387751,22.909931790253314,,,96,0,20:06:38.197288
194,19.7,804.1838418271777,22.80435452431033,38.848862608,-104.826159843,96,0,20:06:38.524998
195,19.69,804.2201757845281,22.711052583285444,38.848873543,-104.826172393,96,0,20:06:39.198899
196,19.69,804.1638128748573,22.658614118054135,38.848872042,-104.826186207,96,0,20:06:40.200110
197,19.69,804.190297592297,22.67028972280354,38.848866374,-104.826203928,96,0,20:06:41.197753
198,19.69,804.1770552313927,22.839581551302594,38.848861424,-104.826208564,96,0,20:06:42.198901
199,19.69,804.1967531714295,23.01490166023799,38.848860235,-104.826215925,96,0,20:06:43.197692
200,19.67,804.2192512657768,23.196349068016872,38.848867955,-104.826237476,96,0,20:06:44.198988
201,19.67,804.2192512657768,23.318916849714622,38.848883739,-104.826248514,96,0,20:06:45.197798
202,19.67,804.185980480931,23.348294503759615,38.848948276,-104.826206514,96,0,20:06:46.195557
203,19.67,804.1992223625048,23.359967164966168,38.84899238,-104.826158677,96,0,20:06:47.199343
204,19.67,804.1628900192165,23.365705837795637,,,96,0,20:06:48.199312
205,19.67,804.1628900192165,23.365705837795637,38.849005434,-104.826159413,96,0,20:06:48.552046
206,19.67,804.1530413372379,23.365608192172456,38.849033064,-104.826158965,96,0,20:06:49.199054
207,19.67,804.1628900192165,23.31901476513422,38.849029191,-104.826168087,96,0,20:06:50.198632
208,19.66,804.1659519385626,23.313472168043152,Unknown,Unknown,96,0,20:06:51.202617
